year,all-Higher,male-Higher,female-Higher,NotKnown-Higher,NA-Higher,all-NewHigher,male-NewHigher,female-NewHigher,NotKnown-NewHigher,NA-NewHigher,all-AdvancedHigher,male-AdvancedHigher,female-AdvancedHigher,NotKnown-AdvancedHigher,NA-AdvancedHigher,all-OrdinaryGrade,male-OrdinaryGrade,female-OrdinaryGrade,NotKnown-OrdinaryGrade,NA-OrdinaryGrade,all-StandardGrade,male-StandardGrade,female-StandardGrade,NotKnown-StandardGrade,NA-StandardGrade,all-CSYS,male-CSYS,female-CSYS,NotKnown-CSYS,NA-CSYS,all-HigherNational,male-HigherNational,female-HigherNational,NotKnown-HigherNational,NA-HigherNational,all-HNCS,male-HNCS,female-HNCS,NotKnown-HNCS,NA-HNCS,all-HNDS,male-HNDS,female-HNDS,NotKnown-HNDS,NA-HNDS,all-HigherNationalUnit,male-HigherNationalUnit,female-HigherNationalUnit,NotKnown-HigherNationalUnit,NA-HigherNationalUnit,all-HNPDA,male-HNPDA,female-HNPDA,NotKnown-HNPDA,NA-HNPDA,all-National5,male-National5,female-National5,NotKnown-National5,NA-National5,all-National4,male-National4,female-National4,NotKnown-National4,NA-National4,all-National3,male-National3,female-National3,NotKnown-National3,NA-National3,all-National2,male-National2,female-National2,NotKnown-National2,NA-National2,all-Intermediate1,male-Intermediate1,female-Intermediate1,NotKnown-Intermediate1,NA-Intermediate1,all-Intermediate2,male-Intermediate2,female-Intermediate2,NotKnown-Intermediate2,NA-Intermediate2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,110390,51655,58735,,,,,,,,,,,,,,,,,,13017,6350,6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,110463,51426,59037,,,,,,,,,,,,,,,,,,27779,13993,13786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,113619,52105,61514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,113538,51752,61786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,106445,49373,57072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,106549,47528,59021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,108579,49053,59526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,109825,49838,59987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,110259,48916,61343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,111826,49397,62429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,114029,50988,63041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,116784,51420,65364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,115096,50242,64854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,114149,50105,64044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"32,451","13,328","19,123",,,87973,40034,47939,,,,,,,,,,,,,"436,058","215,310","220,748",,," 10,235 "," 4,500 "," 5,735 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5804,2535,3269,,,"23,314","10,943","12,371",,
2001,"8,973","3,608","5,365",,,"110,981","48,670","62,311",,,"5,197","2,463","2,734",,,,,,,,"443,288","222,288","221,000",,,"6,079","2,572","3,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10444,4706,5738,,,"41,395","19,644","21,751",,
2002,252,117,134,,,"119,248","52,165","67,083",,,"11,727","5,312","6,415",,,,,,,,"441,754","221,994","219,760",,,393,123,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13280,6215,7065,,,"48,258","23,459","24,799",,
2003,"120,277","52,999","67,278",,,,,,,,"12,694","5,760","6,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16336,7655,8681,,,"51,842","25,257","26,585",,
2004,"121,125","53,702","67,423",,,,,,,,"13,039","5,891","7,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20529,9376,11153,,,"59,587","27,817","31,770",,
2005,"120,616","53,387","67,229",,,,,,,,"13,179","6,175","7,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25362,11658,13704,,,"66,017","30,282","35,735",,
2006,"115,984","51,096","64,888",,,,,,,,"13,952","6,524","7,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32582,15711,16871,,,"70,498","32,716","37,782",,
2007,"118,150","51,712","66,438",,,,,,,,"13,697","6,349","7,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39163,18767,20396,,,"82,370","38,604","43,766",,
2008,"122,050","53,925","68,125",,,,,,,,"14,688","6,649","8,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45066,21979,23087,,,"89,972","41,620","48,352",,
2009,"127,490","55,793","71,697",,,,,,,,"15,765","7,212","8,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49675,24293,25382,,,"97,635","45,702","51,933",,
2010,"134,029","59,001","75,028",,,,,,,,"16,451","7,605","8,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52115,25473,26642,,,"104,972","49,315","55,657",,
2011,"138,274","60,339","77,935",,,,,,,,"17,449","8,002","9,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55963,27579,28384,,,"109,775","52,067","57,708",,
2012,"143,289","62,553","80,736",,,,,,,,"17,745","8,231","9,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57966,29185,28781,,,"114,745","54,871","59,874",,
2013,"145,417","62,769","82,648",,,,,,,,"18,570","8,533","10,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,159","27,742","27,417",,,"120,138","57,530","62,608",,
2014,"148,684","64,499","84,185",,,,,,,,"18,281","8,280","10,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123734,68139,55595,,,15095,9185,5910,,,903,595,308,,,13738,7701,6037,,,"75,938","37,830","38,108",,
2015,"71,295","31,171","40,124",,,"85,436","36,200","49,236",,,"19,007","8,707","10,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132041,73737,58304,,,16072,9626,6446,,,1545,966,579,,,1179,606,573,,,"7,858","3,740","4,118",,
2016,"153,391","65,908","87,483",,,,,,,,"19,518","8,455","11,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124141,69279,54862,,,16894,10270,6624,,,1923,1216,707,,,,,,,,,,,,
2017,"150,639","64,970","85,669",,,,,,,,"19,381","8,430","10,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117828,65663,52165,,,15799,9425,6374,,,1594,991,603,,,,,,,,,,,,
2018,"147,949","62,822","85,127",,,,,,,,"19,653","8,373","11,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101067,56587,44480,,,16473,9985,6488,,,1740,1109,631,,,,,,,,,,,,
2019,"139,322","59,258","80,055",7,2,,,,,,"18,680","7,925","10,755",0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97221,54899,42318,4,-,17157,10482,6674,1,,"1,629","1,079",550,-,-,,,,,,,,,,
2020,"146,643","71,839","94,364",,,,,,,,"20,010","9,465","12,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243,572","128,660","138,884",,,"94,228","52,691","41,530",,,"19,947","11,786","8,153",,,"1,518","1,001",517,,,,,,,,,,,,