Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,3,2,1,-,3,-,9,8,1,-,9,-,12,10,2,-,12,-,7
English,"14,919","1,855","3,003","4,805","9,663","3,460","20,070","3,080","4,633","6,570","14,283","4,009","34,989","4,935","7,636","11,375","23,946","7,469",486
French,"1,226",268,376,350,994,169,"3,614",770,965,"1,083","2,818",567,"4,840","1,038","1,341","1,433","3,812",736,424
Gáidhlig,11,4,6,1,11,-,34,11,18,4,33,1,45,15,24,5,44,1,8
Gaelic (Learners),47,21,11,6,38,5,121,52,29,31,112,7,168,73,40,37,150,12,25
German,534,129,123,161,413,86,"1,544",377,395,454,"1,226",244,"2,078",506,518,615,"1,639",330,303
Italian,54,21,7,14,42,6,134,45,31,32,108,11,188,66,38,46,150,17,48
Latin,149,57,38,29,124,14,233,98,51,44,193,28,382,155,89,73,317,42,78
Russian,11,7,3,1,11,-,11,10,-,-,10,1,22,17,3,1,21,1,9
Spanish,184,80,37,31,148,17,604,209,133,107,449,88,788,289,170,138,597,105,123
,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,299",200,350,384,934,226,"1,846",269,482,510,"1,261",354,"3,145",469,832,894,"2,195",580,337
Mathematics,"10,709","1,527","2,493","2,973","6,993","2,061","9,760","1,460","2,489","2,946","6,895","1,757","20,469","2,987","4,982","5,919","13,888","3,818",461
,,,,,,,,,,,,,,,,,,,
Biology,"3,748",618,919,957,"2,494",781,"8,173","1,082","1,912","2,254","5,248","1,847","11,921","1,700","2,831","3,211","7,742","2,628",445
Chemistry,"5,985","1,106","1,410","1,785","4,301","1,220","5,891","1,025","1,412","1,743","4,180","1,278","11,876","2,131","2,822","3,528","8,481","2,498",436
Geology,27,4,7,4,15,7,17,1,4,4,9,4,44,5,11,8,24,11,8
Human Biology,616,82,141,155,378,143,"1,903",224,431,511,"1,166",470,"2,519",306,572,666,"1,544",613,168
Physics,"8,045","1,536","1,809","1,967","5,312","1,496","3,635",834,989,924,"2,747",546,"11,680","2,370","2,798","2,891","8,059","2,042",445
,,,,,,,,,,,,,,,,,,,
Classical Studies,194,51,50,47,148,19,312,86,76,82,244,32,506,137,126,129,392,51,50
Economics,970,163,245,304,712,146,843,123,187,270,580,159,"1,813",286,432,574,"1,292",305,172
Geography,"4,846",615,"1,169","1,593","3,377","1,039","4,159",781,"1,080","1,264","3,125",714,"9,005","1,396","2,249","2,857","6,502","1,753",432
History,"3,047",417,906,895,"2,218",456,"4,513",670,"1,309","1,380","3,359",656,"7,560","1,087","2,215","2,275","5,577","1,112",439
Modern Studies,"3,195",439,771,974,"2,184",580,"5,014",822,"1,316","1,450","3,588",815,"8,209","1,261","2,087","2,424","5,772","1,395",399
,,,,,,,,,,,,,,,,,,,
Computing Studies,"3,058",469,648,876,"1,993",625,"1,101",153,233,318,704,249,"4,159",622,881,"1,194","2,697",874,381
Craft and Design,"2,163",220,509,681,"1,410",469,694,135,219,201,555,96,"2,857",355,728,882,"1,965",565,313
Graphic Communication,"1,787",229,438,517,"1,184",389,503,49,120,176,345,112,"2,290",278,558,693,"1,529",501,263
Home Economics,44,6,2,17,25,11,656,60,108,183,351,161,700,66,110,200,376,172,142
Management and Information Studies,"1,424",185,342,452,979,230,"2,486",482,687,731,"1,900",361,"3,910",667,"1,029","1,183","2,879",591,284
Secretarial Studies,284,19,65,77,161,61,"3,936",410,987,"1,145","2,542",722,"4,220",429,"1,052","1,222","2,703",783,330
Technological Studies,"1,043",162,219,245,626,226,63,13,17,12,42,18,"1,106",175,236,257,668,244,185
,,,,,,,,,,,,,,,,,,,
Art and Design ,"2,651",388,673,882,"1,943",504,"4,749","1,169","1,373","1,424","3,966",627,"7,400","1,557","2,046","2,306","5,909","1,131",425
Drama,250,30,62,66,158,47,811,169,249,213,631,109,"1,061",199,311,279,789,156,110
Music,915,400,289,157,846,58,"1,604",640,582,316,"1,538",54,"2,519","1,040",871,473,"2,384",112,394
,,,,,,,,,,,,,,,,,,,
Physical Education,"2,576",121,435,850,"1,406",713,896,64,185,272,521,230,"3,472",185,620,"1,122","1,927",943,270
,,,,,,,,,,,,,,,,,,,
Religious Studies,294,41,56,79,176,54,986,115,210,301,626,227,"1,280",156,266,380,802,281,150